87.704,53.314,32.077,28.169,20.839,99.509,51.317,28.457,48.093,48.355,15,25,35,32,18,46,32,41,24,10,0.024,0.092,0.136,0.141,0.144,0.025,0.1,0.147,0.1,0.09,3,7
26.034,14.35,8.634,82.694,17.776,26.225,75.895,17.377,93.794,75.695,29,49,45,23,25,10,38,2,13,17,0.133,0.165,0.172,0.031,0.146,0.123,0.051,0.134,0.006,0.04,3,7
5.342,58.148,52.036,41.114,72.881,72.051,63.257,70.225,92.446,16.531,11,10,20,3,6,19,10,9,0,2,0.216,0.093,0.121,0.122,0.053,0.073,0.081,0.064,0,0.177,3,7
93.98,81.685,18.397,51.74,73.701,42.786,3.35,92.135,10.917,60.853,3,18,31,12,45,5,23,28,35,8,0,0.037,0.181,0.096,0.073,0.111,0.207,0.021,0.2,0.074,3,7
84.358,89.097,13.325,82.739,9.448,86.091,4.621,30.42,86.475,39.137,5,30,9,39,13,36,45,6,11,37,0.011,0.017,0.184,0.039,0.196,0.029,0.23,0.141,0.01,0.142,3,7
77.465,27.081,10.349,21.179,85.128,40.007,28.401,4.042,7.214,49.966,3,27,43,26,9,28,15,6,7,43,0.013,0.118,0.159,0.128,0.004,0.097,0.108,0.144,0.139,0.09,3,7
35.614,44.521,78,45.472,18.768,37.458,52.729,83.62,84.296,79.445,10,31,5,43,13,11,31,48,7,12,0.154,0.143,0.019,0.15,0.209,0.149,0.118,0.035,0.002,0.02,3,7
97.497,6.552,4.801,18.877,66.313,48.276,88.16,16.242,1.694,60.804,11,9,36,46,46,23,13,49,10,30,0.001,0.141,0.162,0.147,0.074,0.086,0.017,0.153,0.149,0.071,3,7
8.322,5.902,84.17,40.89,30.579,30.948,43.991,6.596,94.061,91.454,11,40,29,2,38,25,27,4,14,44,0.154,0.175,0.033,0.092,0.131,0.123,0.102,0.153,0.007,0.029,3,7
42.126,17.589,9.607,23.15,88.086,47.687,34.826,23.894,33.923,84.204,4,16,41,49,2,12,31,36,47,34,0.086,0.137,0.164,0.143,0,0.079,0.112,0.135,0.122,0.023,3,7
83.289,36.86,34.564,26.882,10.682,68.374,24.567,2.561,5.561,79.483,26,12,14,3,5,39,32,2,32,37,0.016,0.095,0.101,0.108,0.14,0.054,0.132,0.154,0.168,0.031,3,7
89.861,24.766,70.997,9.928,67.521,51.518,27.608,43.826,4.815,86.08,24,33,41,1,24,26,29,0,34,35,0.012,0.152,0.06,0.166,0.059,0.093,0.144,0.096,0.194,0.026,3,7
82.473,60.846,35.885,83.114,67.321,43.606,25.459,5.166,31.407,49.332,25,16,9,10,44,7,29,47,16,18,0.017,0.064,0.121,0.002,0.071,0.1,0.164,0.23,0.138,0.094,3,7
89.454,68.122,5.848,67.936,40.728,82.067,10.988,84.914,33.539,67.589,8,26,37,44,4,18,37,2,8,6,0.004,0.072,0.239,0.086,0.126,0.031,0.226,0.012,0.147,0.059,3,7
31.193,31.95,6.526,80.492,68.21,21.545,42.091,70.436,23.122,90.448,15,37,49,14,17,13,45,42,37,11,0.121,0.136,0.195,0.022,0.049,0.139,0.122,0.063,0.153,0,3,7
0.362,62.515,55.487,88.569,43.954,40.759,4.057,12.277,68.87,52.442,0,9,44,32,11,45,32,27,47,45,0.169,0.054,0.082,0.014,0.09,0.111,0.176,0.158,0.058,0.089,3,7
33.014,83.049,40.578,43.823,88.847,40.606,83.388,25.639,12.367,76.498,7,21,17,5,23,33,13,14,16,23,0.138,0.03,0.129,0.109,0.018,0.146,0.021,0.163,0.197,0.048,3,7
61.111,62.195,16.297,6.099,43.324,24.99,74.732,7.114,53.248,38.815,0,15,41,2,18,16,14,47,8,43,0.033,0.04,0.167,0.168,0.087,0.131,0.009,0.193,0.057,0.114,3,7
48.471,10.349,16.304,37.65,38.874,41.894,60.497,79.876,83.814,92.586,2,35,35,24,18,25,24,46,19,14,0.093,0.192,0.179,0.128,0.122,0.12,0.08,0.052,0.028,0.007,3,7
