32.399,97.792,71.451,58.542,9.383,46.384,56.569,2.784,97.504,80.151,32,8,5,31,36,45,14,41,37,44,0.149,0.002,0.054,0.094,0.198,0.126,0.09,0.214,0.017,0.056,3,7
67.038,31.632,4.542,3.78,77.348,35.85,80.759,27.895,28.39,54.518,46,12,38,39,31,27,13,43,47,22,0.052,0.109,0.185,0.187,0.02,0.109,0.001,0.136,0.138,0.064,3,7
22.899,61.378,28.991,4.534,38.732,25.774,98.581,1.951,31.846,30.929,41,21,13,29,24,49,34,31,8,20,0.125,0.059,0.098,0.142,0.092,0.126,0.017,0.147,0.091,0.1,3,7
24.896,78.674,27.457,1.826,72.65,5.508,57.298,70.427,15.729,79.483,26,5,3,30,0,40,48,49,4,7,0.148,0.005,0.128,0.206,0.017,0.203,0.082,0.051,0.157,0.004,3,7
68.419,94.233,2.476,33.198,93.093,31.097,5.143,12.714,17.55,82.729,49,44,10,3,28,8,21,5,15,40,0.075,0.027,0.165,0.106,0.018,0.113,0.167,0.143,0.142,0.044,3,7
50.209,55.133,15.666,71.129,31.811,49.567,16.438,42.256,57.032,13.28,4,37,8,40,6,0,1,39,47,37,0.062,0.066,0.162,0.023,0.115,0.061,0.156,0.104,0.067,0.185,3,7
8.611,59.78,91.446,79.784,22.371,59.536,67.592,50.401,17.819,35.046,25,45,36,29,22,34,45,47,33,13,0.179,0.086,0.014,0.034,0.149,0.079,0.07,0.106,0.165,0.117,3,7
10.409,75.317,53.133,30.104,23.938,18.599,5.896,40.849,71.959,42.358,12,37,13,16,28,38,32,13,39,27,0.149,0.023,0.052,0.108,0.133,0.154,0.178,0.08,0.033,0.09,3,7
91.283,48.331,6.262,23.307,0.135,23.946,56.488,77.287,36.219,50.977,47,30,16,32,44,20,30,46,1,30,0.02,0.088,0.156,0.133,0.179,0.126,0.074,0.044,0.097,0.083,3,7
45.318,18.757,13.876,69.264,85.045,58.977,58.914,32.261,93.971,98.251,0,12,47,42,23,23,23,43,30,38,0.114,0.176,0.202,0.081,0.039,0.094,0.095,0.161,0.023,0.017,3,7
22.181,96.233,67.771,73.334,73.993,25.876,47.034,88.166,41.111,82.837,46,5,32,40,32,21,35,5,5,35,0.213,0,0.089,0.08,0.073,0.189,0.143,0.021,0.14,0.052,3,7
48.932,0.326,12.527,18.845,49.238,21.235,7.585,21.428,77.517,59.175,26,17,2,46,40,49,20,14,29,8,0.068,0.155,0.124,0.136,0.075,0.133,0.143,0.114,0.015,0.038,3,7
