"If arity of operators is fixed, then which of the following notations can be used to parse expressions without parentheses? a) Infix Notation (Inorder traversal of a expression tree) b) Postfix Notation (Postorder traversal of a expression tree) c) Prefix Notation (Preorder traversal of a expression tree)",b and c, Only b,"a, b and c",None of them,a
"What are the main applications of tree data structure? 1) Manipulate hierarchical data 2) Make information easy to search (see tree traversal). 3) Manipulate sorted lists of data 4) Router algorithms 5) Form of a multi-stage decision-making, like Chess Game. 6) As a workflow for compositing digital images for visual effects","1, 2, 3, 4 and 6","1, 2, 3, 4 and 5","1, 3, 4, 5 and 6","1, 2, 3, 4, 5 and 6",d
"Level of a node is distance from root to that node. For example, level of root is 1 and levels of left and right children of root is 2. The maximum number of nodes on level i of a binary tree is 

In the following answers, the operator '^' indicates power.", 2^(i)-1, 2^i,2^(i+1),2^[(i+1)/2],a
"A complete n-ary tree is a tree in which each node has n children or no children. Let I be the number of internal nodes and L be the number of leaves in a complete n-ary tree. If L = 41, and I = 10, what is the value of n?",6,3,4,5,d
The height of a binary tree is the maximum number of edges in any root to leaf path. The maximum number of nodes in a binary tree of height h is,2^h -1,2^(h-1) – 1, 2^(h+1) -1,2*(h+1),c
"The following three are known to be the preorder, inorder and postorder sequences of a binary tree. But it is not known which is which.
MBCAFHPYK
KAMCBYPFH
MABCKYFPH
Pick the true statement from the following","I and II are preorder and inorder sequences, respectively","I and III are preorder and postorder sequences, respectively","II is the inorder sequence, but nothing more can be said about the other two sequences","II and III are the preorder and inorder sequences, respectively",d
"A binary tree with n > 1 nodes has n1, n2 and n3 nodes of degree one, two and three respectively. The degree of a node is defined as the number of its neighbors.
n3 can be expressed as", n1 + n2 - 1,n1 - 2,[((n1 + n2)/2)], n2 - 1,b
"A binary tree with n > 1 nodes has n1, n2 and n3 nodes of degree one, two and three respectively. The degree of a node is defined as the number of its neighbors.
Starting with the above tree, while there remains a node v of degree two in the tree, add an edge between the two neighbors of v and then remove v from the tree. How many edges will remain at the end of the process?",2 * n1 - 3,n2 + 2 * n1 - 2,n3 - n2,n2 + n1 - 2,a
"A binary search tree contains the values 1, 2, 3, 4, 5, 6, 7, 8. The tree is traversed in pre-order and the values are printed out. Which of the following sequences is a valid output?",53124786,53126487,53241678,53124768,d
"Which of the following sequences denotes the post order traversal sequence of the given tree?
         a
       /   \
      b     e
     / \   /
    c  d  f
   /
  g", f e g c d b a,g c b d a f e,g c d b f e a,f e d g c b a,c
